time,open,high,low,close,volume
2023-03-29 16:20:00,28355.41,28370.53,28355.41,28361.63,25.62957
2023-03-29 16:21:00,28361.64,28361.64,28321.0,28338.05,51.13272
2023-03-29 16:22:00,28338.05,28348.36,28321.0,28348.35,55.9189
2023-03-29 16:23:00,28348.35,28349.64,28339.51,28342.15,21.71297
2023-03-29 16:24:00,28342.15,28349.5,28342.02,28344.32,18.54006
2023-03-29 16:25:00,28344.31,28364.0,28343.43,28363.99,20.74015
2023-03-29 16:26:00,28364.0,28369.58,28361.6,28369.58,30.12407
2023-03-29 16:27:00,28369.58,28369.89,28366.18,28366.18,15.51432
2023-03-29 16:28:00,28366.18,28366.19,28345.15,28345.15,30.84917
2023-03-29 16:29:00,28345.16,28345.16,28330.93,28336.73,34.03954
2023-03-29 16:30:00,28336.73,28341.0,28336.73,28340.99,16.98664
2023-03-29 16:31:00,28340.99,28346.56,28335.67,28336.27,43.46657
2023-03-29 16:32:00,28336.27,28346.55,28336.26,28345.84,27.8256
2023-03-29 16:33:00,28345.84,28349.47,28338.42,28338.42,21.29283
2023-03-29 16:34:00,28338.42,28345.57,28336.65,28345.57,23.91844
2023-03-29 16:35:00,28345.56,28345.57,28336.0,28336.01,26.49384
2023-03-29 16:36:00,28336.01,28346.43,28336.0,28346.42,16.19774
2023-03-29 16:37:00,28346.43,28354.92,28346.42,28354.92,16.69595
2023-03-29 16:38:00,28354.91,28363.17,28354.91,28356.56,29.45423
2023-03-29 16:39:00,28356.57,28356.57,28340.53,28340.54,17.85805
2023-03-29 16:40:00,28340.53,28345.42,28322.61,28322.61,45.91243
2023-03-29 16:41:00,28322.62,28322.62,28300.87,28310.01,85.272
2023-03-29 16:42:00,28310.01,28310.01,28277.83,28286.51,130.38666
2023-03-29 16:43:00,28286.51,28305.0,28286.5,28300.95,44.36668
2023-03-29 16:44:00,28300.94,28309.77,28300.94,28309.77,23.16026
2023-03-29 16:45:00,28309.77,28309.77,28289.1,28306.45,53.0943
