time,open,high,low,close,volume
2023-03-29 16:20:00,0.063516,0.063525,0.063516,0.063525,56.3597
2023-03-29 16:21:00,0.063526,0.06354,0.063524,0.063539,130.4948
2023-03-29 16:22:00,0.063539,0.063541,0.063525,0.063525,57.4957
2023-03-29 16:23:00,0.063524,0.063524,0.063518,0.063518,29.6228
2023-03-29 16:24:00,0.063518,0.063519,0.063518,0.063519,16.5238
2023-03-29 16:25:00,0.063519,0.06352,0.063519,0.06352,24.0618
2023-03-29 16:26:00,0.06352,0.063543,0.06352,0.063543,109.945
2023-03-29 16:27:00,0.063544,0.063552,0.063544,0.063552,30.534
2023-03-29 16:28:00,0.063553,0.063571,0.063553,0.063571,35.1068
2023-03-29 16:29:00,0.063571,0.06359,0.063571,0.06359,24.2631
2023-03-29 16:30:00,0.06359,0.06359,0.063589,0.06359,29.1215
2023-03-29 16:31:00,0.063589,0.06359,0.063573,0.063573,33.8199
2023-03-29 16:32:00,0.063573,0.063574,0.063567,0.063567,57.0335
2023-03-29 16:33:00,0.063567,0.063567,0.063564,0.063565,29.7395
2023-03-29 16:34:00,0.063565,0.063565,0.063564,0.063564,14.245
2023-03-29 16:35:00,0.063565,0.063565,0.063561,0.063561,53.0714
2023-03-29 16:36:00,0.063561,0.063561,0.063559,0.06356,22.9203
2023-03-29 16:37:00,0.063559,0.06356,0.063559,0.063559,32.3403
2023-03-29 16:38:00,0.063559,0.063559,0.063553,0.063554,45.2538
2023-03-29 16:39:00,0.063554,0.063559,0.063554,0.063557,48.7127
2023-03-29 16:40:00,0.063558,0.063575,0.063558,0.063575,64.1964
2023-03-29 16:41:00,0.063574,0.063586,0.063573,0.063573,33.1479
2023-03-29 16:42:00,0.063572,0.063572,0.06355,0.06355,14.9003
2023-03-29 16:43:00,0.063551,0.063551,0.063531,0.063532,51.7794
2023-03-29 16:44:00,0.063532,0.063537,0.063532,0.063537,74.0741
2023-03-29 16:45:00,0.063536,0.063548,0.063536,0.063548,50.07
2023-03-29 16:46:00,0.063547,0.063568,0.063547,0.063568,23.2315
2023-03-29 16:47:00,0.063569,0.063657,0.063564,0.063638,225.1909
