time,open,high,low,close,volume
2023-03-29 16:20:00,1800.88,1802.21,1800.88,1802.21,217.9973
2023-03-29 16:21:00,1802.21,1802.21,1800.01,1800.43,314.7998
2023-03-29 16:22:00,1800.43,1800.61,1800.02,1800.39,207.6913
2023-03-29 16:23:00,1800.4,1800.62,1800.11,1800.12,181.7436
2023-03-29 16:24:00,1800.11,1800.85,1800.11,1800.45,384.3207
2023-03-29 16:25:00,1800.45,1801.86,1800.45,1801.85,297.5958
2023-03-29 16:26:00,1801.85,1802.94,1801.65,1802.93,269.2914
2023-03-29 16:27:00,1802.93,1803.29,1802.65,1803.29,133.1288
2023-03-29 16:28:00,1803.28,1803.29,1802.05,1802.05,125.0207
2023-03-29 16:29:00,1802.06,1802.18,1801.49,1801.84,171.0578
2023-03-29 16:30:00,1801.84,1802.38,1801.84,1802.04,119.5138
2023-03-29 16:31:00,1802.03,1802.27,1801.3,1801.41,408.912
2023-03-29 16:32:00,1801.41,1801.92,1801.3,1801.58,196.7751
2023-03-29 16:33:00,1801.59,1801.94,1801.41,1801.41,154.0152
2023-03-29 16:34:00,1801.42,1801.69,1801.3,1801.52,101.8985
2023-03-29 16:35:00,1801.52,1801.53,1800.9,1800.92,218.4688
2023-03-29 16:36:00,1800.92,1801.7,1800.92,1801.69,105.6924
2023-03-29 16:37:00,1801.7,1802.04,1801.69,1801.99,560.2054
2023-03-29 16:38:00,1802.0,1802.59,1801.99,1802.24,105.5087
2023-03-29 16:39:00,1802.23,1802.24,1801.02,1801.14,349.3967
2023-03-29 16:40:00,1801.14,1801.42,1800.79,1800.8,200.1943
2023-03-29 16:41:00,1800.79,1800.79,1799.78,1799.78,162.0581
2023-03-29 16:42:00,1799.78,1799.79,1797.2,1797.69,410.3409
2023-03-29 16:43:00,1797.7,1798.32,1797.69,1798.02,190.0162
2023-03-29 16:44:00,1798.02,1798.9,1798.02,1798.89,132.4494
2023-03-29 16:45:00,1798.9,1798.9,1797.87,1798.77,180.314
2023-03-29 16:46:00,1798.78,1799.1,1798.11,1798.36,149.8496
2023-03-29 16:47:00,1798.36,1798.37,1794.19,1797.22,1338.67
2023-03-29 16:48:00,1797.22,1798.5,1797.12,1797.87,355.4736
2023-03-29 16:49:00,1797.87,1798.69,1797.87,1797.97,139.2872
2023-03-29 16:50:00,1797.97,1798.97,1797.22,1798.97,185.8885
2023-03-29 16:51:00,1798.96,1800.59,1798.96,1800.58,325.5788
2023-03-29 16:52:00,1800.59,1801.22,1800.4,1800.64,219.5998
2023-03-29 16:53:00,1800.65,1801.0,1800.43,1800.44,187.54
2023-03-29 16:54:00,1800.44,1800.44,1798.89,1799.64,192.4916
2023-03-29 16:55:00,1799.64,1800.0,1799.52,1799.52,105.5033
2023-03-29 16:56:00,1799.53,1799.53,1796.93,1797.16,365.0574
2023-03-29 16:57:00,1797.16,1797.56,1794.22,1795.09,659.4922
2023-03-29 16:58:00,1795.1,1795.1,1791.88,1792.06,1249.5308
2023-03-29 16:59:00,1792.07,1794.03,1792.06,1793.24,440.4683
2023-03-29 17:00:00,1793.24,1794.35,1792.2,1793.57,375.4139
2023-03-29 17:01:00,1793.58,1795.51,1793.15,1795.42,366.6982
2023-03-29 17:02:00,1795.43,1795.46,1794.3,1794.67,203.2812
2023-03-29 17:03:00,1794.67,1797.56,1794.32,1797.51,580.7935
2023-03-29 17:04:00,1797.51,1798.22,1797.21,1797.26,278.3491
2023-03-29 17:05:00,1797.26,1797.87,1796.97,1797.08,232.515
2023-03-29 17:06:00,1797.07,1798.38,1797.07,1798.08,214.5339
2023-03-29 17:07:00,1798.08,1798.08,1797.45,1798.01,140.2752
2023-03-29 17:08:00,1798.02,1800.84,1798.01,1799.43,600.4529
2023-03-29 17:09:00,1799.42,1800.72,1799.42,1800.03,366.0361
2023-03-29 17:10:00,1800.03,1801.0,1800.02,1800.13,369.6728
2023-03-29 17:11:00,1800.14,1802.0,1800.13,1801.13,437.1659
2023-03-29 17:12:00,1801.13,1801.5,1800.97,1801.32,128.1846
2023-03-29 17:13:00,1801.32,1801.52,1800.97,1801.21,145.5378
2023-03-29 17:14:00,1801.21,1802.0,1801.21,1801.35,279.1326
2023-03-29 17:15:00,1801.36,1802.29,1801.35,1801.4,201.2696
2023-03-29 17:16:00,1801.41,1801.41,1800.0,1800.94,234.2247
2023-03-29 17:17:00,1800.95,1801.17,1799.8,1799.8,144.114
2023-03-29 17:18:00,1799.81,1801.07,1799.32,1801.06,239.1726
2023-03-29 17:19:00,1801.06,1801.21,1800.54,1800.54,108.8322
2023-03-29 17:20:00,1800.55,1801.06,1800.12,1800.81,196.6097
2023-03-29 17:21:00,1800.8,1801.18,1800.8,1801.18,97.4097
2023-03-29 17:22:00,1801.18,1802.07,1800.92,1802.06,127.9862
2023-03-29 17:23:00,1802.07,1803.26,1801.83,1802.48,269.6454
2023-03-29 17:24:00,1802.49,1802.8,1802.21,1802.22,143.5794
2023-03-29 17:25:00,1802.22,1802.59,1801.77,1801.77,69.1697
